id,meanWi_before1970,meanSu_before1970,meanWi_after1990,meanSu_after1990,lat,long,elev
2760,25.15710383,17.73446328,26.45,18.9,-24.72,153.2,101
2761,24.2375,14.89230769,24.93333333,15.20133333,-28.78,114.7,34
2762,30.95208333,16.50526316,31.91666667,17.66666667,-25.05,115.2,144
2763,25.73571429,12.94466667,27.55,13.76666667,-29.68,115.88,267
2764,26.80810811,12.47387387,28.75,13.9,-29.22,116,274
2765,28.90512821,13.31794872,30.9,14.5,-28.05,117.83,427
2766,29.70793651,13.67142857,30.58589744,14.628,-26.6,118.53,518
2767,27.98174603,12.505,30.35,14.13333333,-28.88,121.32,380
2769,28.98981481,13.06481481,30.08333333,13.95185185,-27.58,135.45,117
2770,28.41182796,12.73763441,29.40882353,13.57083333,-29.65,138.05,51
2771,30.37692308,14.55757576,31.14166667,15.3625,-25.9,139.35,47
2772,27.86959064,12.3360119,29.08627451,13.31458333,-29.42,142.02,184
2773,29.63655914,13.90804598,29.7,NA,-25.42,142.65,129
2774,28.65,12.70632184,29.64,13.98666667,-27.98,143.82,130
2775,29.23678161,13.54074074,29.11666667,14.61666667,-26.62,144.27,198
2776,28.23650794,12.95464481,28.09166667,13.8,-28.07,145.73,191
2778,28.30977011,13.03011696,28.6,11.4,-28.02,147.47,185
2779,26.075,11.61156463,26.89166667,12.2,-26.48,147.97,338
2780,26.82191358,12.78942308,27.75,12.98333333,-26.57,148.78,299
2781,27.67222222,13.12777778,28.1,13.6,-28.03,148.58,203
2782,27.22840909,12.31085271,27.75,12.96666667,-28.97,148.98,160
2783,26.89861111,12.61527778,27.18333333,12.85,-27.15,149.07,246
2784,26.66018519,13.68235294,26.8,NA,-25.63,149.78,200
2785,25.99,11.575,25.94,12.06666667,-29.47,149.85,212
2786,25.51388889,11.89807692,25.95833333,13.13703704,-26.67,150.18,307
2787,26.11908602,12.18083333,26.75,14.6,-28.55,150.3,-999
2788,21.99404762,8.405031447,22.14404762,10.2625,-29.77,151.1,586
2789,25.6989418,14.3,26.89166667,15.25,-25.63,151.62,108
2790,22.86111111,11.54833333,24.03333333,12.51666667,-26.55,151.83,431
2791,23.18061224,11.34858156,25.05,13.5,-26.67,152,355
2792,21.15388889,8.8,21.75833333,8.933333333,-28.65,151.93,795
2793,21.64122807,11.06388889,22.1,12.95,-27.58,151.92,676
2795,21.65880503,9.747798742,23.15,12,-28.33,152.3,514
2796,21.28621795,9.243464052,20.81666667,9.383333333,-29.05,152.02,860
2797,24.67578616,14.35408163,25.4,15.23333333,-26.15,152.63,100
2798,23.83269231,13.02051282,24.8125,13.96086957,-27.63,152.72,31
2799,25.47198582,14.40074074,26.4,16.06666667,-27.62,152.75,40
2800,24.07777778,13.16590909,25.65,NA,-27.55,152.33,94
2801,23.73333333,13.96666667,24.175,14.26666667,-29.68,152.92,9
2802,23.87327044,13.73076923,24.925,14.53333333,-28.88,153.03,26
2803,23.12583333,14.4745098,24.68205128,15.53133333,-27.4,153.1,4
2805,23.81236559,13.6094086,25.2,NA,-28.8,153.25,13
2806,22.10531401,13.96956522,23.4,15.39814815,-29.43,153.35,30
2807,23.4502924,15.91608187,24.63333333,17.13333333,-27.03,153.47,102
2808,19.65833333,13.52752525,20.65,14.09285714,-33.53,115,98
2809,19.52711268,13.96478873,20.15588235,14.65104167,-34.37,115.12,14
2811,23.69,14.24142857,25.05,14.96666667,-31.95,115.87,19
2812,23.4025641,13.56923077,24.41666667,13.744,-31.9,116,18
2813,19.98357488,10.35858586,21.24583333,11.11515152,-33.95,116.13,151
2814,19.49191919,10.953125,20.30833333,11.31666667,-34.23,116.15,280
2815,25.54615385,12.03589744,26.12361111,12.68888889,-30.27,116.65,338
2816,20.9552381,10.59428571,22.1,11.23333333,-32.72,116.05,268
2817,24.77916667,11.57583333,25.74166667,12.80833333,-31.65,116.67,155
2818,24.95,11.74166667,26.6,13,-30.88,116.72,283
2819,24.21022727,11.30719697,25.15,12.23333333,-31.88,116.75,175
2820,21.66368159,9.823383085,22.95833333,11.16666667,-32.67,116.67,280
2821,22.58888889,10.47777778,24.15833333,11.4,-32.37,117,240
2822,24.73333333,11.77666667,24.95333333,12.08,-31.65,117.23,236
2823,21.64,9.933333333,22.43333333,10.96666667,-32.93,117.17,338
2824,21.0045045,10.17725225,21.94166667,10.95,-33.68,117.55,311
2825,20.32222222,9.511111111,21.13333333,11.06666667,-33.83,117.15,305
2826,19.21846154,10.94769231,19.95,11.21666667,-34.62,117.65,280
2827,25.19047619,11.42936508,26,12.68333333,-30.8,117.85,353
2828,23.18253968,10.41666667,23.75833333,11.11666667,-32.32,117.87,296
2830,22.38690476,10.8047619,22.55222222,11.16309524,-33.12,118.47,287
2831,20.9125,12.01041667,21.525,12.28333333,-33.57,120.03,233
